Price,symbol,open,high,low,close,volume
Ticker,NVAX,NVAX,NVAX,NVAX,NVAX,NVAX
date,,,,,,
2021-09-15,NVAX,232.3000030517578,232.3000030517578,236.32000732421875,223.0500030517578,2874200
2021-09-16,NVAX,237.27000427246094,237.27000427246094,239.6999969482422,229.5,2221300
2021-09-17,NVAX,237.5399932861328,237.5399932861328,239.0,228.2100067138672,3137200
2021-09-20,NVAX,226.9199981689453,226.9199981689453,233.4499969482422,222.13999938964844,3275700
2021-09-21,NVAX,230.2899932861328,230.2899932861328,231.97999572753906,223.0,2872000
2021-09-22,NVAX,232.00999450683594,232.00999450683594,234.11000061035156,224.14999389648438,2363200
2021-09-23,NVAX,257.29998779296875,257.29998779296875,260.69000244140625,233.5500030517578,6962500
2021-09-24,NVAX,248.16000366210938,248.16000366210938,257.29998779296875,246.25,3007100
2021-09-27,NVAX,231.0399932861328,231.0399932861328,249.0399932861328,227.39999389648438,4662600
2021-09-28,NVAX,204.8300018310547,204.8300018310547,231.88999938964844,202.22000122070312,8387600
2021-09-29,NVAX,203.52999877929688,203.52999877929688,215.5500030517578,198.0,3758700
2021-09-30,NVAX,207.30999755859375,207.30999755859375,211.47999572753906,200.52000427246094,2789900
2021-10-01,NVAX,181.60000610351562,181.60000610351562,192.39999389648438,154.27999877929688,17547800
2021-10-04,NVAX,178.27000427246094,178.27000427246094,181.33999633789062,166.5500030517578,5747800
2021-10-05,NVAX,170.0,170.0,185.2100067138672,169.72999572753906,4599900
2021-10-06,NVAX,161.88999938964844,161.88999938964844,168.6999969482422,159.11000061035156,4912500
2021-10-07,NVAX,165.67999267578125,165.67999267578125,170.02999877929688,158.39999389648438,3159500
2021-10-08,NVAX,164.0500030517578,164.0500030517578,171.00999450683594,162.24000549316406,3289300
2021-10-11,NVAX,165.38999938964844,165.38999938964844,170.88999938964844,159.5500030517578,2675200
2021-10-12,NVAX,163.22000122070312,163.22000122070312,167.5500030517578,160.60000610351562,2233600
2021-10-13,NVAX,166.38999938964844,166.38999938964844,173.24000549316406,163.7100067138672,4450300
2021-10-14,NVAX,169.74000549316406,169.74000549316406,174.63999938964844,168.5,2589800
2021-10-15,NVAX,161.9499969482422,161.9499969482422,170.74000549316406,160.30999755859375,3147200
2021-10-18,NVAX,166.25,166.25,167.88999938964844,160.55999755859375,2634500
2021-10-19,NVAX,160.5500030517578,160.5500030517578,173.4499969482422,160.1999969482422,3314800
2021-10-20,NVAX,136.86000061035156,136.86000061035156,147.44000244140625,121.3499984741211,30517000
2021-10-21,NVAX,138.7899932861328,138.7899932861328,143.8800048828125,136.52999877929688,5634500
2021-10-22,NVAX,134.55999755859375,134.55999755859375,138.60000610351562,130.6300048828125,3145700
2021-10-25,NVAX,135.35000610351562,135.35000610351562,135.99000549316406,130.8000030517578,3068700
2021-10-26,NVAX,134.99000549316406,134.99000549316406,135.6199951171875,130.08999633789062,2372000
2021-10-27,NVAX,141.5500030517578,141.5500030517578,156.32000732421875,140.22999572753906,7972400
2021-10-28,NVAX,150.6199951171875,150.6199951171875,152.1699981689453,141.3000030517578,3570700
2021-10-29,NVAX,148.8300018310547,148.8300018310547,152.5500030517578,144.6999969482422,3012500
2021-11-01,NVAX,172.4499969482422,172.4499969482422,173.8000030517578,153.5,10195000
2021-11-02,NVAX,195.3000030517578,195.3000030517578,199.38999938964844,175.35000610351562,9954200
2021-11-03,NVAX,195.1999969482422,195.1999969482422,201.47999572753906,185.3699951171875,6786300
2021-11-04,NVAX,179.41000366210938,179.41000366210938,188.0,175.3000030517578,6363800
2021-11-05,NVAX,159.19000244140625,159.19000244140625,166.0,146.11000061035156,12461100
2021-11-08,NVAX,173.02000427246094,173.02000427246094,173.3300018310547,160.5,5027500
2021-11-09,NVAX,169.3000030517578,169.3000030517578,171.99000549316406,163.2899932861328,3288700
2021-11-10,NVAX,164.19000244140625,164.19000244140625,173.8699951171875,161.66000366210938,2683200
2021-11-11,NVAX,169.3800048828125,169.3800048828125,172.9600067138672,165.0,2582000
2021-11-12,NVAX,169.88999938964844,169.88999938964844,175.4199981689453,168.00999450683594,2594700
2021-11-15,NVAX,172.4499969482422,172.4499969482422,174.72000122070312,168.30999755859375,2512000
2021-11-16,NVAX,170.49000549316406,170.49000549316406,171.99000549316406,165.2899932861328,3108500
2021-11-17,NVAX,183.99000549316406,183.99000549316406,190.10000610351562,171.4499969482422,6198700
2021-11-18,NVAX,191.0500030517578,191.0500030517578,192.57000732421875,183.77999877929688,4228900
2021-11-19,NVAX,192.33999633789062,192.33999633789062,196.85000610351562,187.52000427246094,3468100
2021-11-22,NVAX,207.99000549316406,207.99000549316406,211.17999267578125,195.0800018310547,5647600
2021-11-23,NVAX,200.7100067138672,200.7100067138672,204.1699981689453,195.07000732421875,3313100
2021-11-24,NVAX,200.07000732421875,200.07000732421875,201.6999969482422,185.52999877929688,2916300
2021-11-26,NVAX,217.97000122070312,217.97000122070312,221.72000122070312,213.5,6157700
2021-11-29,NVAX,193.9600067138672,193.9600067138672,229.0,188.02999877929688,10005300
2021-11-30,NVAX,208.6300048828125,208.6300048828125,212.0,189.0,6052600
